robot_id,data,pezzi_prodotti,tempo_ciclo_medio,tempo_fermo_minuti,errori_collisione,consumo_energia_kwh,temperatura_motore_c,ore_operative,efficienza_oee
ABB_001,2026-01-04 20:53:29.137470,1771,32.37343721933829,68,0,95.35,48.1,16,92.67
ABB_002,2026-01-04 20:53:29.137470,1534,36.738150198795104,139,0,90.6,52.0,16,81.66
ABB_003,2026-01-04 20:53:29.137470,1695,33.86765389206526,109,0,95.65,49.5,16,88.58
ABB_004,2026-01-04 20:53:29.137470,1148,47.093572580463096,381,2,95.5,51.6,16,63.7
ABB_001,2026-01-05 20:53:29.137470,1706,33.15818627132005,78,0,93.1,44.6,16,90.48
ABB_002,2026-01-05 20:53:29.137470,1507,37.20710723148022,262,1,101.55,49.1,16,80.63
ABB_003,2026-01-05 20:53:29.137470,1694,32.68814571815134,112,0,95.9,46.7,16,91.78
ABB_004,2026-01-05 20:53:29.137470,1291,43.78514867349443,363,1,100.85,48.1,16,68.52
ABB_001,2026-01-06 20:53:29.137470,1618,33.57659168831142,137,0,94.6,47.1,16,89.35
ABB_002,2026-01-06 20:53:29.137470,1486,37.631066179943495,205,0,94.8,47.8,16,79.72
ABB_003,2026-01-06 20:53:29.137470,1574,34.166829838944025,165,0,95.2,47.6,16,87.8
ABB_004,2026-01-06 20:53:29.137470,1126,49.45447834314467,405,2,96.8,54.5,16,60.66
ABB_001,2026-01-07 20:53:29.137470,1488,36.088082493438755,173,0,91.7,40.7,16,83.13
ABB_002,2026-01-07 20:53:29.137470,1556,35.03448790286249,137,1,91.5,53.2,16,85.63
ABB_003,2026-01-07 20:53:29.137470,1598,33.11063898193299,91,0,89.0,49.3,16,90.61
ABB_004,2026-01-07 20:53:29.137470,1155,45.357268713639904,386,2,96.35,49.9,16,66.14
ABB_001,2026-01-08 20:53:29.137470,1495,36.602172006816176,223,1,97.05,50.8,16,81.96
ABB_002,2026-01-08 20:53:29.137470,1533,36.10653531245542,127,0,89.35,46.8,16,83.09
ABB_003,2026-01-08 20:53:29.137470,1631,31.914094268608707,63,0,87.85,39.4,16,94.0
ABB_004,2026-01-08 20:53:29.137470,1127,46.7921528894431,368,0,93.15,53.4,16,64.11
ABB_001,2026-01-09 20:53:29.137470,1671,33.67874095531986,112,0,94.75,49.6,16,89.08
ABB_002,2026-01-09 20:53:29.137470,1444,37.08198206540392,117,1,83.9,45.8,16,80.9
ABB_003,2026-01-09 20:53:29.137470,1603,32.3880976760236,98,0,89.95,48.2,16,92.63
ABB_004,2026-01-09 20:53:29.137470,1237,46.11918632640573,258,2,87.65,52.0,16,65.05
ABB_001,2026-01-10 20:53:29.137470,1530,34.20714961479703,102,0,86.7,47.4,16,87.7
ABB_002,2026-01-10 20:53:29.137470,1485,37.375214034931204,234,0,97.65,50.7,16,80.27
ABB_003,2026-01-10 20:53:29.137470,1721,32.05739729445713,77,0,93.75,46.7,16,93.58
ABB_004,2026-01-10 20:53:29.137470,1316,42.54583303230419,400,3,105.8,48.5,16,70.51
ABB_001,2026-01-11 20:53:29.137470,1563,36.16217027148318,209,0,99.05,50.5,16,82.96
ABB_002,2026-01-11 20:53:29.137470,1678,34.22027253351073,69,0,90.8,48.1,16,87.67
ABB_003,2026-01-11 20:53:29.137470,1820,31.272323671477228,35,0,94.5,44.7,16,95.93
ABB_004,2026-01-11 20:53:29.137470,1196,45.872722786688506,170,2,76.8,50.1,16,65.4
ABB_001,2026-01-12 20:53:29.137470,1527,35.77806994073072,155,0,91.85,50.7,16,83.85
ABB_002,2026-01-12 20:53:29.137470,1352,38.962193783076295,157,1,83.3,54.0,16,77.0
ABB_003,2026-01-12 20:53:29.137470,1585,35.21963236735392,76,0,86.85,46.8,16,85.18
ABB_004,2026-01-12 20:53:29.137470,1181,44.37472558956096,168,1,75.85,53.7,16,67.61
ABB_001,2026-01-13 20:53:29.137470,1678,34.2742675574075,178,1,101.7,46.2,16,87.53
